year,DCED,UNDP-Private-Sector-Strategy-2007,UNDP-Private-Sector-Strategy-2012,UNDP-Private-Sector-Strategy-2016,UNDP-Private-Sector-Strategy-2018,UNDP-Private-Sector-Strategy-2018-2022
2004,0.04667357288551832,0.11051750423141057,0.047356472549883885,0.0,0.0790280080052204,0.03121609157237707
2006,0.0,0.015351096030211328,0.023017152619152915,0.0,0.03352326439063249,0.016350786608528782
2007,0.02029195095219254,0.036193444574475875,0.031416912498731,0.0006714683976267352,0.035086708186717,0.02212121994015735
2008,0.022419527016627985,0.04166249409730297,0.032986881284445976,0.00047253245033768555,0.040126267447876666,0.024601984752230376
2009,0.023773513829018454,0.03520880520170798,0.032105671603603315,0.001962464612458928,0.03911191493915722,0.024266510886895486
2010,0.0238007571060608,0.03714746703874733,0.03248848833004248,0.0008416573083667808,0.039959699391026844,0.023924731405584744
2011,0.02318315991131652,0.03637011219072285,0.03242088410875326,0.0010064769432831472,0.04227637455996979,0.025384875250863994
2012,0.023650111965975287,0.0342823921959902,0.032169910068298266,0.0012656740822178899,0.04121593561382297,0.025123478627654426
2013,0.025025021083908857,0.03460859644894166,0.03298989136824864,0.0009485515219611028,0.041942759309078224,0.02546807776151072
2014,0.025569423278612377,0.031896027952934884,0.031189381104931715,0.0015004914281125253,0.04235409893226787,0.025194155380165156
2015,0.025856929491681065,0.030432129050554053,0.032209677691024126,0.001924372898128547,0.04370965135082319,0.026964516124893912
2016,0.02573859511279899,0.028315089408830853,0.03318139710489239,0.001871143448659502,0.04593989534181855,0.02830199225369791
2017,0.027328733595893565,0.028593673899557463,0.03458543784319048,0.002471786539417114,0.048920822517998584,0.03025854114678917
2018,0.029152142998312407,0.027294764104597535,0.036615198448356444,0.0028014158998385824,0.05285081232729233,0.03293379975246129
2019,0.02887766964690784,0.028618059256052392,0.03848716644664342,0.002454947747482275,0.05522027045215636,0.034789366241146834
2020,0.03029398461789569,0.028046085455094988,0.038740348641300264,0.0023483863288203052,0.05631847778926863,0.03587051308815672
2021,0.03130984884768854,0.03082239764685031,0.037062745892642045,0.0021356227988263226,0.05404184555855775,0.03482195969891562
